ZIPCode,State,City,Latitude,Longitude
43041,OH,O M Scott Co,40.24,-83.37
43044,OH,Mechanicsburg,40.06,-83.57
43045,OH,Milford Center,40.18,-83.44
43045,OH,Milford Ctr,40.18,-83.44
43046,OH,Millersport,39.9,-82.54
43046,OH,Etna,39.9,-82.54
43047,OH,Mingo,40.21,-83.64
43048,OH,Mount Liberty,40.35,-82.63
43050,OH,Mount Vernon,40.39,-82.49
43054,OH,New Albany,40.08,-82.82
43055,OH,Newark,40.08,-82.4
43055,OH,Hanover,40.08,-82.4
43055,OH,Marne,40.08,-82.4
43056,OH,Heath,40.02,-82.37
43056,OH,Newark,40.02,-82.37
43058,OH,Newark,40.06,-82.4
43060,OH,North Lewisburg,40.22,-83.56
43060,OH,N Lewisburg,40.22,-83.56
43061,OH,Ostrander,40.28,-83.2
43062,OH,Pataskala,39.99,-82.68
43062,OH,Etna,39.99,-82.68
43064,OH,Plain City,40.11,-83.26
43065,OH,Powell,40.16,-83.09
43065,OH,Shawnee Hills,40.16,-83.09
43066,OH,Radnor,40.4,-83.17
43067,OH,Raymond,40.35,-83.46
43068,OH,Reynoldsburg,39.96,-82.79
43068,OH,Etna,39.96,-82.79
43068,OH,Pataskala,39.96,-82.79
43069,OH,Reynoldsburg,39.95,-82.81
43069,OH,Victorias Secret,39.95,-82.81
43070,OH,Rosewood,40.22,-83.96
43071,OH,Saint Louisville,40.18,-82.37
43071,OH,Saint Louisvl,40.18,-82.37
43071,OH,St Louisville,40.18,-82.37
43072,OH,Saint Paris,40.12,-83.96
43072,OH,St Paris,40.12,-83.96
43073,OH,Summit Station,40,-82.75
43073,OH,Pataskala,40,-82.75
43073,OH,Summit Sta,40,-82.75
43074,OH,Sunbury,40.27,-82.85
43076,OH,Thornville,39.91,-82.41
43077,OH,Unionville Center,40.14,-83.34
43077,OH,Unionvlle Ctr,40.14,-83.34
43078,OH,Urbana,40.11,-83.76
43080,OH,Utica,40.24,-82.43
43080,OH,Etna,40.24,-82.43
43081,OH,Westerville,40.11,-82.9
43082,OH,Westerville,40.15,-82.91
43083,OH,Westville,40.11,-83.82
43084,OH,Woodstock,40.17,-83.54
43085,OH,Columbus,40.1,-83.02
43085,OH,Worthington,40.1,-83.02
43085,OH,Linworth,40.1,-83.02
43085,OH,Mount Air,40.1,-83.02
43085,OH,Riverlea,40.1,-83.02
43086,OH,Westerville,40.12,-82.92
43093,OH,Newark,40.06,-82.46
43093,OH,State Farm Insurance,40.06,-82.46
43101,OH,Adelphi,39.47,-82.75
43102,OH,Amanda,39.65,-82.76
43103,OH,Ashville,39.72,-82.95
43103,OH,S Bloomfield,39.72,-82.95
43103,OH,South Bloomfield,39.72,-82.95
43105,OH,Baltimore,39.86,-82.61
43105,OH,Etna,39.86,-82.61
43106,OH,Bloomingburg,39.62,-83.4
